num_id,count
11303,2
3644,26
18441,5
5235,77
17772,2
1053,381
8711,37
7422,97
8077,59
15603,444
7344,249
1735,165
13272,55
9369,11
18327,1
5553,96
4895,2
11465,15
3122,7
5547,23
17000,1
4881,34
2228,6
3136,167
4659,9
15617,9
8063,5
7350,12
12178,27
1721,128
13266,12
14509,217
6728,1
1047,18
15171,4
8705,15
7436,31
16478,1
11317,3
3650,14
19993,3
5221,5
18455,1
17766,7
3888,121
6700,10
14247,17
9433,47
13528,4
12636,51
15159,41
4117,3
3678,208
17996,19
2566,71
10021,2
5209,7
17028,3
2200,25
11459,10
4671,91
7378,23
12150,25
1709,103
6066,2
14521,3
9355,1
12144,3
289,115
6072,1
9341,300
14535,5
2214,4
10753,5
16322,1
19011,1
4665,90
19777,2
4103,2
17982,14
2572,6
10035,2
18469,9
6714,5
9427,25
14253,18
12622,8
8739,1
6927,25
12811,1
504,54
1090,17
2599,124
3687,7
10960,39
5590,11
4856,42
15818,8
262,111
6099,13
7387,184
276,673
7393,152
10974,24
5584,13
4842,64
19950,11
19788,2
3693,6
6933,39
12805,21
1084,13
510,10
19978,1
3863,103
20121,1
16493,12
14284,1
8936,395
538,8
15824,56
8088,125
1912,34
12193,3
10784,1
10948,63
10790,49
13299,191
15830,5
9382,73
1906,81
12187,2
12839,12
14290,4
8922,3
3877,5
17799,2
16487,7
16108,7
3320,1
11667,28
5989,9
10579,5
17216,1
18125,2
5751,20
6258,84
13070,1
1537,14
7146,60
8275,27
15401,6
7620,10
8513,17
15367,13
12408,5
13716,10
1251,88
14079,5
18643,16
5037,22
2758,15
3446,45
11101,3
17564,35
5023,6
18657,7
3452,171
11115,127
2994,88
7634,53
909,203
15373,9
8507,15
13702,2
1245,40
9619,5
13064,32
1523,120
7152,10
15415,3
8261,5
3334,2
11673,4
17202,1
5745,3
18131,9
14723,17
9157,5
6264,3
12352,3
8249,5
4473,3
16134,8
2002,6
11883,1
18119,1
10223,20
2764,9
4315,227
16652,9
921,10
12434,13
14045,7
9631,29
6502,58
935,259
7608,3
1279,26
9625,20
14051,5
6516,60
17558,1
10237,2
2770,11
11129,13
4301,238
16646,1
19213,2
4467,15
3308,47
10551,36
2016,115
5779,2
11897,1
9143,66
14737,60
6270,16
13058,2
12346,1
14904,2
7185,2
3485,153
18858,2
2943,42
16875,2
1292,66
706,157
9816,115
712,75
1286,188
13919,2
9802,45
3491,6
2957,279
16861,1
11868,18
5786,10
4498,345
14910,34
7191,84
10586,61
11840,24
5976,31
11698,96
14938,85
12391,1
9194,71
7807,4
14086,3
15398,75
13931,2
7813,17
14092,3
13925,55
12385,40
9180,94
10592,9
11854,66
5962,267
5625,7
3254,3
11713,40
7032,7
15575,3
8301,128
13104,8
1443,675
29,108
9779,13
13662,1
1325,28
7754,26
869,7
8467,10
3532,1
11075,5
17404,22
5143,47
18737,12
4249,38
3526,110
11061,51
2638,12
5157,28
14119,3
13676,2
1331,23
12568,1
7740,129
8473,105
15207,1
7026,24
8315,12
15561,3
1457,52
6338,56
17376,2
18045,5
5631,322
10419,9
3240,226
11707,60
16068,8
15549,15
12226,22
13138,11
9023,12
6310,9
5619,27
10431,27
2176,2
3268,9
4507,10
4261,20
11049,36
10357,30
2610,45
17438,5
9745,3
14131,20
15,28
6476,103
1319,14
12540,1
855,314
7768,4
13886,4
14125,41
9751,58
6462,8
699,198
9989,46
12554,9
841,114
13892,1
4275,62
19401,1
10343,9
2604,3
10425,30
2162,81
4513,14
16054,9
8329,2
12232,32
14643,2
9037,17
6304,11
1480,43
114,99
14870,2
3297,7
11908,1
18092,22
2189,29
5180,19
2837,781
9962,11
13879,13
7797,32
6489,52
672,191
9976,36
666,70
5194,301
2823,171
18938,34
3283,11
100,59
1494,45
14864,53
5802,69
11934,1
20531,2
128,27
12583,29
8498,3
896,24
9786,9
7973,48
10394,70
18910,1
10380,6
16929,29
18904,1
12597,39
882,11
13851,10
9792,19
7967,1
13689,6
14680,10
14858,1
5816,43
16097,2
11920,31
17389,5
5341,6
17606,1
10169,1
11277,13
3730,13
16518,8
15011,1
8665,16
7556,13
6890,26
1127,4
13460,1
6648,9
14469,1
1641,131
13306,13
12018,35
8103,1
1899,329
7230,17
4739,71
11511,1
3056,236
2348,63
5427,68
18253,36
17160,11
3042,30
5433,6
9209,3
1655,11
8117,5
15763,12
7224,6
8671,5
7542,2
6884,2
1133,13
13474,13
18521,17
5355,2
17612,4
11263,106
3724,5
8659,4
12742,1
8881,5
6674,62
9547,87
14333,8
2412,12
10155,10
16524,9
19617,1
4063,38
16242,17
19171,8
4705,8
2374,44
6112,379
9221,27
14455,8
12024,4
6106,6
14441,43
9235,3
1669,48
15987,26
12030,11
7218,65
16256,4
4711,26
11539,31
2360,2
10627,4
17148,4
5369,76
2406,292
10141,72
3718,7
16530,2
4077,20
19603,3
15039,32
12756,3
13448,55
8895,94
6660,35
14327,1
9553,19
470,72
12965,5
7595,110
6853,33
5382,91
4922,13
10814,2
3095,65
316,136
1682,17
15978,1
1696,14
302,75
4936,43
18284,6
10800,37
3081,10
4088,12
5396,18
464,46
12971,1
7581,86
6847,48
11288,7
3917,16
10196,60
8842,18
12959,8
9584,6
12781,14
1866,150
15788,35
14496,8
15950,2
16281,22
10828,16
20727,1
1872,3
14482,5
15944,1
8856,23
458,260
9590,11
3903,211
10182,18
14483,3
1873,191
16294,2
10183,4
3902,39
12794,4
9591,13
8857,56
459,4
12780,15
9585,3
12958,2
8843,8
10197,54
3916,1
11289,39
17820,1
10829,2
16280,2
15951,28
14497,8
1867,35
3080,18
10801,9
18285,2
4937,80
303,150
1697,144
6846,45
7580,3
12970,8
465,444
5397,9
4089,21
17808,3
19831,2
20068,1
5383,9
6852,11
7594,47
471,8
1683,4
317,405
3094,1
10815,89
18291,2
4923,21
10626,17
2361,250
11538,11
4710,175
7219,134
12031,3
1668,7
9234,16
14440,39
6107,149
14326,35
6661,46
8894,35
13449,11
12757,16
15038,2
4076,7
16531,1
3719,9
10140,243
2407,45
5368,181
4062,7
16525,3
10154,12
2413,88
18508,1
20097,1
9546,11
6675,24
8880,7
12743,50
8658,16
12025,26
14454,3
9220,25
6113,3
10632,14
2375,143
4704,332
19170,17
7225,63
8116,45
13313,34
1654,69
9208,11
5432,4
3043,30
11504,3
3725,42
11262,4
17613,45
5354,101
18520,2
1132,8
6885,6
7543,34
15004,20
8670,22
6649,58
13461,3
1126,93
6891,23
7557,35
8664,7
15010,111
3731,34
11276,91
10168,74
17607,32
5340,30
18252,1
5426,4
2349,67
3057,157
11510,1
4738,30
7231,5
8102,6
15776,2
1898,3
12019,8
13307,4
1640,165
14468,52
7966,60
13688,3
9793,1
13850,24
883,20
12596,44
16928,5
10381,10
17388,2
11921,21
16096,2
5817,126
